mutation_rate,m,n_selected_sites,replicate,RF,WRF
0.0001,0.0,2,2,0.085106,0.08605
0.0001,5.0,1,3,0.595745,0.0296
0.0001,0.0,2,3,0.106383,0.095633
0.0001,5.0,1,2,0.531915,0.035092
0.0001,10.0,2,2,0.765957,0.022841
0.0001,1.0,1,1,0.234043,0.063261
0.0001,10.0,2,3,0.808511,0.022452
0.0001,1.0,2,2,0.212766,0.067373
0.0001,1.0,2,3,0.212766,0.049753
0.0001,10.0,1,1,0.829787,0.021686
0.0001,5.0,2,1,0.617021,0.031746
0.0001,0.0,1,1,0.06383,0.099729
0.0001,0.0,2,1,0.042553,0.090598
0.0001,5.0,1,1,0.553191,0.029597
0.0001,1.0,1,3,0.255319,0.054939
0.0001,10.0,2,1,0.659574,0.021209
0.0001,1.0,1,2,0.212766,0.053935
0.0001,1.0,2,1,0.191489,0.046403
0.0001,10.0,1,3,0.808511,0.021684
0.0001,10.0,1,2,0.765957,0.028112
0.0001,0.0,1,3,0.042553,0.097339
0.0001,5.0,2,2,0.106383,0.09375
0.0001,0.0,1,2,0.085106,0.097656
0.0001,5.0,2,3,0.617021,0.031746
0.0005,0.0,2,2,0.0,0.198326
0.0005,5.0,1,3,0.361702,0.070959
0.0005,0.0,2,3,0.042553,0.217038
0.0005,5.0,1,2,0.255319,0.063608
0.0005,10.0,2,2,0.361702,0.049787
0.0005,1.0,1,1,0.021277,0.12004
0.0005,10.0,2,3,0.404255,0.048462
0.0005,1.0,2,2,0.06383,0.151883
0.0005,1.0,2,3,0.085106,0.130326
0.0005,10.0,1,1,0.425532,0.05074
0.0005,5.0,2,1,0.212766,0.071631
0.0005,0.0,1,1,0.0,0.210831
0.0005,0.0,2,1,0.0,0.235996
0.0005,5.0,1,1,0.170213,0.063514
0.0005,1.0,1,3,0.042553,0.131344
0.0005,10.0,2,1,0.297872,0.051441
0.0005,1.0,1,2,0.042553,0.117711
0.0005,1.0,2,1,0.042553,0.116269
0.0005,10.0,1,3,0.425532,0.05074
0.0005,10.0,1,2,0.489362,0.042971
0.0005,0.0,1,3,0.0,0.209608
0.0005,5.0,2,2,0.148936,0.073541
0.0005,0.0,1,2,0.042553,0.223423
0.0005,5.0,2,3,0.170213,0.071624
0.001,0.0,2,2,0.021277,0.325728
0.001,5.0,1,3,0.106383,0.102979
0.001,0.0,2,3,0.021277,0.3278
0.001,5.0,1,2,0.085106,0.093795
0.001,10.0,2,2,0.191489,0.066875
0.001,1.0,1,1,0.06383,0.194889
0.001,10.0,2,3,0.191489,0.082389
0.001,1.0,2,2,0.0,0.201593
0.001,1.0,2,3,0.0,0.144778
0.001,10.0,1,1,0.191489,0.065233
0.001,5.0,2,1,0.170213,0.092346
0.001,0.0,1,1,0.021277,0.339511
0.001,0.0,2,1,0.0,0.319327
0.001,5.0,1,1,0.148936,0.086584
0.001,1.0,1,3,0.0,0.175493
0.001,10.0,2,1,0.234043,0.082531
0.001,1.0,1,2,0.0,0.18614
0.001,1.0,2,1,0.021277,0.265655
0.001,10.0,1,3,0.191489,0.065233
0.001,10.0,1,2,0.234043,0.066865
0.001,0.0,1,3,0.0,0.288252
0.001,5.0,2,2,0.06383,0.120608
0.001,0.0,1,2,0.06383,0.319688
0.001,5.0,2,3,0.170213,0.092346
