m,n_selected_sites,replicate,distance
1,0,1,2.086067289216664
1,0,2,2.4814979123105263
1,0,3,0.7748131602388861
1,0,4,4.461531572308341
1,0,5,3.549988954459104
1,50,1,0.6799948114609409
1,50,2,1.11702317822682
1,50,3,1.4668423456244482
1,50,4,2.8682158663798862
1,50,5,1.013955880857696
1,200,1,1.8055458056494713
1,200,2,1.7504934231302194
1,200,3,1.9352890599683814
1,200,4,1.5842844240843772
1,200,5,1.423239997615886
1,500,1,2.0472715248156823
1,500,2,1.6509739944697153
1,500,3,2.163474058905002
1,500,4,2.16278434150486
1,500,5,1.7491942702326435
1,1000,1,1.9946553713020274
1,1000,2,1.2976768381720856
1,1000,3,2.411107908217731
1,1000,4,1.9556460190348512
1,1000,5,2.6722219364695654
2,0,1,2.4814979123105263
2,0,2,0.960993955607376
2,0,3,4.466687995677883
2,0,4,3.549988954459104
2,0,5,1.4927748390740396
2,50,1,1.6589999285200914
2,50,2,1.496869081326136
2,50,3,2.7313642149744934
2,50,4,1.0264207828170457
2,50,5,1.6415954542227602
2,200,1,1.7695967856205161
2,200,2,2.1479099631394445
2,200,3,1.6667720662882632
2,200,4,1.4211693600826658
2,200,5,1.5878766545618779
2,500,1,1.7401520528812247
2,500,2,2.401194606676188
2,500,3,2.517713148975051
2,500,4,1.8619523989545428
2,500,5,1.7550896249788241
2,1000,1,1.3628318734874332
2,1000,2,2.600225654442241
2,1000,3,1.9718581307350218
2,1000,4,2.693947984072498
2,1000,5,3.3243350824689486
5,0,1,3.549988954459104
5,0,2,1.4920135422665701
5,0,3,2.242145513228113
5,0,4,0.4333665654655627
5,0,5,1.126782381821962
5,50,1,1.0432307751033392
5,50,2,1.8689548734224979
5,50,3,1.5082375346298575
5,50,4,1.707458011565966
5,50,5,0.8589496577294565
5,200,1,1.422631103044684
5,200,2,1.6139699831482406
5,200,3,2.340313514924684
5,200,4,0.8850108705952248
5,200,5,2.100453603975907
5,500,1,1.8670198754553151
5,500,2,1.7918176028863517
5,500,3,2.3281934388160512
5,500,4,1.8842307596345205
5,500,5,2.535465071128731
5,1000,1,2.92243099478851
5,1000,2,3.339848161525475
5,1000,3,2.1805584689623125
5,1000,4,2.168783408068396
5,1000,5,2.64997193577252
10,0,1,1.0354237486187623
10,0,2,0.9444090092270089
10,0,3,0.6553938186439596
10,0,4,1.8663765530275844
10,0,5,3.2271974459620445
10,50,1,1.335150464567546
10,50,2,2.768776121782808
10,50,3,1.3622810064211797
10,50,4,1.8769275504542366
10,50,5,1.7792249014066293
10,200,1,1.351965885798728
10,200,2,1.345442492866929
10,200,3,1.8029584282197773
10,200,4,1.9127096362358817
10,200,5,2.0385958271385354
10,500,1,2.2123778339998306
10,500,2,2.3848698414494516
10,500,3,2.5583443780414283
10,500,4,2.397245264641376
10,500,5,1.6821327104999093
10,1000,1,2.421122243977296
10,1000,2,1.9073192613317778
10,1000,3,2.125592497204524
10,1000,4,2.046497257871579
10,1000,5,1.9426206444250593
20,0,1,1.480380633955302
20,0,2,1.2063278240970237
20,0,3,2.5821026263403124
20,0,4,0.42013120525477865
20,0,5,1.1533767662472822
20,50,1,1.2943177526260699
20,50,2,2.177168567319909
20,50,3,1.8747968681407474
20,50,4,1.5033878174070783
20,50,5,1.255820204814985
20,200,1,1.691983588828278
20,200,2,1.535012870279126
20,200,3,3.2512177755529192
20,200,4,1.496185400353182
20,200,5,1.5518592476142357
20,500,1,2.062122302532275
20,500,2,2.3577667443524737
20,500,3,2.113589015534525
20,500,4,2.791274047368193
20,500,5,2.519706181372075
20,1000,1,1.9043851645902998
20,1000,2,2.5159969383675733
20,1000,3,2.3574093582066675
20,1000,4,2.39009497967277
20,1000,5,1.7611464585958836
50,0,1,0.47939221087033546
50,0,2,1.7197301097701814
50,0,3,2.0131463095344206
50,0,4,0.641650569041858
50,0,5,1.249429679132887
50,50,1,1.6803568596359855
50,50,2,1.7403899975874482
50,50,3,1.5701018665003488
50,50,4,0.3238158959968437
50,50,5,1.160693619947813
50,200,1,2.396561528877599
50,200,2,2.348558866560637
50,200,3,1.8925171636688856
50,200,4,1.053365271217379
50,200,5,1.9244820087117567
50,500,1,2.6732159952855854
50,500,2,2.012608896651356
50,500,3,1.4053204074115195
50,500,4,2.7067196385619927
50,500,5,2.2145649839910106
50,1000,1,2.569794536173143
50,1000,2,2.9260468800651416
50,1000,3,2.2704678720135494
50,1000,4,1.9649373018111458
50,1000,5,2.4564469005041993
100,0,1,2.0590730266450556
100,0,2,1.9626712319585315
100,0,3,1.5354432916200096
100,0,4,0.6897430783531504
100,0,5,1.2686222482004186
100,50,1,1.5949242430337216
100,50,2,1.3664188987569084
100,50,3,1.865340956945851
100,50,4,1.6805412716137202
100,50,5,0.6546982432511457
100,200,1,1.4900785578008706
100,200,2,1.6348849821531397
100,200,3,1.4428467267759586
100,200,4,1.970220843239768
100,200,5,1.4747295843664123
100,500,1,2.0434694150452355
100,500,2,3.1425792999864437
100,500,3,2.6892496048995858
100,500,4,1.684681152827721
100,500,5,2.437774428388183
100,1000,1,2.0834293124078993
100,1000,2,2.149924695908105
100,1000,3,2.607664867518473
100,1000,4,2.4556905458543747
100,1000,5,2.93557583593216
200,0,1,0.5713456320287539
200,0,2,0.8156105811728385
200,0,3,2.074172522989173
200,0,4,1.592480761506366
200,0,5,1.7436796720690295
200,50,1,1.485792068107128
200,50,2,1.1868904958864062
200,50,3,1.22091947175952
200,50,4,1.6051914685367485
200,50,5,2.1790549820676257
200,200,1,1.511815598604738
200,200,2,1.9547526277335157
200,200,3,1.774409957095048
200,200,4,2.125826118489219
200,200,5,1.8468402191808428
200,500,1,1.5984239718305826
200,500,2,2.1536420620488474
200,500,3,1.552246514777979
200,500,4,1.7368938181452316
200,500,5,1.8681601386384907
200,1000,1,2.357093915660894
200,1000,2,1.9749357249088348
200,1000,3,1.777899864114071
200,1000,4,1.800348972289785
200,1000,5,2.2651389307012053
