m,n_selected_sites,mean,std,min,max
1,0,2.6708,1.41,0.7748,4.4615
1,50,1.4292,0.852,0.68,2.8682
1,200,1.6998,0.1994,1.4232,1.9353
1,500,1.9547,0.2398,1.651,2.1635
1,1000,2.0663,0.523,1.2977,2.6722
2,0,2.5904,1.4416,0.961,4.4667
2,50,1.711,0.6251,1.0264,2.7314
2,200,1.7187,0.2716,1.4212,2.1479
2,500,2.0552,0.3743,1.7402,2.5177
2,1000,2.3906,0.7482,1.3628,3.3243
5,0,1.7689,1.1905,0.4334,3.55
5,50,1.3974,0.4319,0.8589,1.869
5,200,1.6725,0.5734,0.885,2.3403
5,500,2.0813,0.3301,1.7918,2.5355
5,1000,2.6523,0.5005,2.1688,3.3398
10,0,1.5458,1.0422,0.6554,3.2272
10,50,1.8245,0.5809,1.3352,2.7688
10,200,1.6903,0.3228,1.3454,2.0386
10,500,2.247,0.3387,1.6821,2.5583
10,1000,2.0886,0.2049,1.9073,2.4211
20,0,1.3685,0.7838,0.4201,2.5821
20,50,1.6211,0.3961,1.2558,2.1772
20,200,1.9053,0.756,1.4962,3.2512
20,500,2.3689,0.3002,2.0621,2.7913
20,1000,2.1858,0.3316,1.7611,2.516
50,0,1.2207,0.6638,0.4794,2.0131
50,50,1.2951,0.5882,0.3238,1.7404
50,200,1.9231,0.5391,1.0534,2.3966
50,500,2.2025,0.5356,1.4053,2.7067
50,1000,2.4375,0.3563,1.9649,2.926
100,0,1.5031,0.5563,0.6897,2.0591
100,50,1.4324,0.4703,0.6547,1.8653
100,200,1.6026,0.2184,1.4428,1.9702
100,500,2.3996,0.5646,1.6847,3.1426
100,1000,2.4465,0.3482,2.0834,2.9356
200,0,1.3595,0.6383,0.5713,2.0742
200,50,1.5356,0.4006,1.1869,2.1791
200,200,1.8427,0.2274,1.5118,2.1258
200,500,1.7819,0.2419,1.5522,2.1536
200,1000,2.0351,0.2653,1.7779,2.3571
