m,n_selected_sites,replicate,distance
1,0,1,0.2962962962962963
1,0,2,0.18518518518518517
1,0,3,0.14814814814814814
1,0,4,0.6666666666666666
1,0,5,0.37037037037037035
1,50,1,0.18518518518518517
1,50,2,0.18518518518518517
1,50,3,0.18518518518518517
1,50,4,0.5555555555555556
1,50,5,0.07407407407407407
1,200,1,0.37037037037037035
1,200,2,0.37037037037037035
1,200,3,0.5925925925925926
1,200,4,0.25925925925925924
1,200,5,0.5185185185185185
1,500,1,0.5925925925925926
1,500,2,0.5185185185185185
1,500,3,0.5925925925925926
1,500,4,0.4074074074074074
1,500,5,0.6666666666666666
1,1000,1,0.7407407407407407
1,1000,2,0.7037037037037037
1,1000,3,0.7037037037037037
1,1000,4,0.7037037037037037
1,1000,5,0.7777777777777778
2,0,1,0.18518518518518517
2,0,2,0.18518518518518517
2,0,3,0.5185185185185185
2,0,4,0.37037037037037035
2,0,5,0.14814814814814814
2,50,1,0.3333333333333333
2,50,2,0.18518518518518517
2,50,3,0.48148148148148145
2,50,4,0.07407407407407407
2,50,5,0.2962962962962963
2,200,1,0.37037037037037035
2,200,2,0.6296296296296297
2,200,3,0.2222222222222222
2,200,4,0.5185185185185185
2,200,5,0.48148148148148145
2,500,1,0.6296296296296297
2,500,2,0.7777777777777778
2,500,3,0.5925925925925926
2,500,4,0.8888888888888888
2,500,5,0.7037037037037037
2,1000,1,0.7037037037037037
2,1000,2,0.8518518518518519
2,1000,3,0.7037037037037037
2,1000,4,0.7777777777777778
2,1000,5,0.7777777777777778
5,0,1,0.37037037037037035
5,0,2,0.14814814814814814
5,0,3,0.07407407407407407
5,0,4,0.14814814814814814
5,0,5,0.14814814814814814
5,50,1,0.07407407407407407
5,50,2,0.4074074074074074
5,50,3,0.4444444444444444
5,50,4,0.2222222222222222
5,50,5,0.18518518518518517
5,200,1,0.5185185185185185
5,200,2,0.48148148148148145
5,200,3,0.6666666666666666
5,200,4,0.4074074074074074
5,200,5,0.5185185185185185
5,500,1,0.7777777777777778
5,500,2,0.7037037037037037
5,500,3,0.6296296296296297
5,500,4,0.7777777777777778
5,500,5,0.5555555555555556
5,1000,1,0.8148148148148148
5,1000,2,0.7777777777777778
5,1000,3,0.8888888888888888
5,1000,4,0.8888888888888888
5,1000,5,0.8888888888888888
10,0,1,0.18518518518518517
10,0,2,0.18518518518518517
10,0,3,0.14814814814814814
10,0,4,0.14814814814814814
10,0,5,0.4444444444444444
10,50,1,0.2222222222222222
10,50,2,0.14814814814814814
10,50,3,0.25925925925925924
10,50,4,0.2962962962962963
10,50,5,0.5185185185185185
10,200,1,0.3333333333333333
10,200,2,0.7407407407407407
10,200,3,0.6666666666666666
10,200,4,0.4444444444444444
10,200,5,0.5925925925925926
10,500,1,0.7407407407407407
10,500,2,0.8518518518518519
10,500,3,0.9259259259259259
10,500,4,0.8148148148148148
10,500,5,0.7777777777777778
10,1000,1,0.7777777777777778
10,1000,2,0.8518518518518519
10,1000,3,0.7037037037037037
10,1000,4,0.7037037037037037
10,1000,5,0.7777777777777778
20,0,1,0.037037037037037035
20,0,2,0.037037037037037035
20,0,3,0.3333333333333333
20,0,4,0.1111111111111111
20,0,5,0.1111111111111111
20,50,1,0.37037037037037035
20,50,2,0.25925925925925924
20,50,3,0.18518518518518517
20,50,4,0.37037037037037035
20,50,5,0.1111111111111111
20,200,1,0.6296296296296297
20,200,2,0.48148148148148145
20,200,3,0.7037037037037037
20,200,4,0.5925925925925926
20,200,5,0.5925925925925926
20,500,1,0.7037037037037037
20,500,2,0.7777777777777778
20,500,3,0.7777777777777778
20,500,4,0.8888888888888888
20,500,5,0.8518518518518519
20,1000,1,0.8518518518518519
20,1000,2,0.8148148148148148
20,1000,3,0.7407407407407407
20,1000,4,0.7777777777777778
20,1000,5,0.7407407407407407
50,0,1,0.1111111111111111
50,0,2,0.037037037037037035
50,0,3,0.2962962962962963
50,0,4,0.2222222222222222
50,0,5,0.037037037037037035
50,50,1,0.4444444444444444
50,50,2,0.4444444444444444
50,50,3,0.2222222222222222
50,50,4,0.0
50,50,5,0.2962962962962963
50,200,1,0.6666666666666666
50,200,2,0.5185185185185185
50,200,3,0.5925925925925926
50,200,4,0.6296296296296297
50,200,5,0.48148148148148145
50,500,1,0.9629629629629629
50,500,2,0.8148148148148148
50,500,3,0.8148148148148148
50,500,4,0.5925925925925926
50,500,5,0.7777777777777778
50,1000,1,0.5925925925925926
50,1000,2,0.7777777777777778
50,1000,3,0.8148148148148148
50,1000,4,0.8148148148148148
50,1000,5,0.6296296296296297
100,0,1,0.07407407407407407
100,0,2,0.07407407407407407
100,0,3,0.2962962962962963
100,0,4,0.14814814814814814
100,0,5,0.07407407407407407
100,50,1,0.2962962962962963
100,50,2,0.037037037037037035
100,50,3,0.2222222222222222
100,50,4,0.2962962962962963
100,50,5,0.25925925925925924
100,200,1,0.4444444444444444
100,200,2,0.48148148148148145
100,200,3,0.5925925925925926
100,200,4,0.5185185185185185
100,200,5,0.5555555555555556
100,500,1,0.7777777777777778
100,500,2,0.8148148148148148
100,500,3,0.8148148148148148
100,500,4,0.7407407407407407
100,500,5,0.8148148148148148
100,1000,1,0.7777777777777778
100,1000,2,0.9259259259259259
100,1000,3,0.8518518518518519
100,1000,4,0.7037037037037037
100,1000,5,0.8888888888888888
200,0,1,0.14814814814814814
200,0,2,0.1111111111111111
