m,n_selected_sites,mean,std,min,max
1,0,0.3333,0.2062,0.1481,0.6667
1,50,0.237,0.1844,0.0741,0.5556
1,200,0.4222,0.1325,0.2593,0.5926
1,500,0.5556,0.098,0.4074,0.6667
1,1000,0.7259,0.0331,0.7037,0.7778
2,0,0.2815,0.1584,0.1481,0.5185
2,50,0.2741,0.154,0.0741,0.4815
2,200,0.4444,0.1549,0.2222,0.6296
2,500,0.7185,0.1189,0.5926,0.8889
2,1000,0.763,0.062,0.7037,0.8519
5,0,0.1778,0.1123,0.0741,0.3704
5,50,0.2667,0.1558,0.0741,0.4444
5,200,0.5185,0.0944,0.4074,0.6667
5,500,0.6889,0.0966,0.5556,0.7778
5,1000,0.8519,0.0524,0.7778,0.8889
10,0,0.2222,0.1256,0.1481,0.4444
10,50,0.2889,0.1396,0.1481,0.5185
10,200,0.5556,0.1656,0.3333,0.7407
10,500,0.8222,0.0712,0.7407,0.9259
10,1000,0.763,0.062,0.7037,0.8519
20,0,0.1259,0.1217,0.037,0.3333
20,50,0.2593,0.1142,0.1111,0.3704
20,200,0.6,0.0803,0.4815,0.7037
20,500,0.8,0.0722,0.7037,0.8889
20,1000,0.7852,0.0483,0.7407,0.8519
50,0,0.1407,0.1154,0.037,0.2963
50,50,0.2815,0.1844,0.0,0.4444
50,200,0.5778,0.0768,0.4815,0.6667
50,500,0.7926,0.1325,0.5926,0.963
50,1000,0.7259,0.1067,0.5926,0.8148
100,0,0.1333,0.0966,0.0741,0.2963
100,50,0.2222,0.108,0.037,0.2963
100,200,0.5185,0.0586,0.4444,0.5926
100,500,0.7926,0.0331,0.7407,0.8148
100,1000,0.8296,0.0892,0.7037,0.9259
200,0,0.1704,0.0562,0.1111,0.2593
200,50,0.3259,0.1092,0.1852,0.4815
200,200,0.6296,0.0869,0.5185,0.7037
200,500,0.7926,0.0853,0.7037,0.8889
200,1000,0.8593,0.1154,0.6667,0.963
