mutation_rate,m,n_selected_sites,replicate,RF,WRF
0.0001,0.0,2,2,0.06383,0.086044
0.0001,5.0,1,3,0.659574,0.025856
0.0001,0.0,2,5,0.06383,0.096208
0.0001,5.0,1,4,0.617021,0.031384
0.0001,0.0,2,4,0.106383,0.098306
0.0001,5.0,1,5,0.659574,0.035458
0.0001,0.0,2,3,0.106383,0.095631
0.0001,5.0,1,2,0.531915,0.035092
0.0001,10.0,2,2,1.0,0.004348
0.0001,10.0,2,5,0.957447,0.006654
0.0001,1.0,1,6,0.191489,0.050595
0.0001,10.0,2,4,1.0,0.003597
0.0001,1.0,1,1,0.234043,0.063261
0.0001,10.0,2,3,0.978723,0.006335
0.0001,1.0,2,2,0.574468,0.035436
0.0001,1.0,2,5,0.361702,0.041033
0.0001,1.0,2,4,0.404255,0.037765
0.0001,10.0,1,6,0.617021,0.022341
0.0001,1.0,2,3,0.553191,0.037544
0.0001,10.0,1,1,0.851064,0.021688
0.0001,5.0,2,1,0.723404,0.012705
0.0001,5.0,2,6,0.893617,0.011913
0.0001,0.0,1,6,0.042553,0.090326
0.0001,0.0,1,1,0.042553,0.097339
0.0001,0.0,2,6,0.06383,0.083506
0.0001,0.0,2,1,0.042553,0.090598
0.0001,5.0,1,1,0.574468,0.029599
0.0001,5.0,1,6,0.723404,0.032462
0.0001,1.0,1,4,0.191489,0.059681
0.0001,10.0,2,6,1.0,0.006389
0.0001,1.0,1,3,0.276596,0.054939
0.0001,10.0,2,1,1.0,0.005157
0.0001,1.0,1,2,0.191489,0.053933
0.0001,1.0,1,5,0.276596,0.05128
0.0001,1.0,2,6,0.468085,0.034963
0.0001,10.0,1,4,0.744681,0.023212
0.0001,1.0,2,1,0.361702,0.036282
0.0001,10.0,1,3,0.851064,0.023983
0.0001,10.0,1,2,0.702128,0.028101
0.0001,10.0,1,5,0.787234,0.022236
0.0001,0.0,1,4,0.0,0.097478
0.0001,5.0,2,5,0.93617,0.012577
0.0001,0.0,1,3,0.042553,0.085058
0.0001,5.0,2,2,0.978723,0.010601
0.0001,0.0,1,2,0.085106,0.099117
0.0001,5.0,2,3,0.808511,0.013262
0.0001,0.0,1,5,0.06383,0.090587
0.0001,5.0,2,4,0.914894,0.013355
0.0005,0.0,2,2,0.0,0.198326
0.0005,5.0,1,3,0.361702,0.070959
0.0005,0.0,2,5,0.021277,0.216223
0.0005,5.0,1,4,0.148936,0.069906
0.0005,0.0,2,4,0.042553,0.200371
0.0005,5.0,1,5,0.255319,0.068548
0.0005,0.0,2,3,0.042553,0.217037
0.0005,5.0,1,2,0.255319,0.063608
0.0005,10.0,2,2,0.914894,0.016081
0.0005,10.0,2,5,0.829787,0.019228
0.0005,1.0,1,6,0.042553,0.122077
0.0005,10.0,2,4,0.914894,0.015619
0.0005,1.0,1,1,0.021277,0.12004
0.0005,10.0,2,3,0.914894,0.022208
0.0005,1.0,2,2,0.170213,0.076304
0.0005,1.0,2,5,0.06383,0.103068
0.0005,1.0,2,4,0.106383,0.091093
0.0005,10.0,1,6,0.404255,0.053153
0.0005,1.0,2,3,0.148936,0.088357
0.0005,10.0,1,1,0.446809,0.050741
0.0005,5.0,2,1,0.468085,0.031552
0.0005,5.0,2,6,0.638298,0.027736
0.0005,0.0,1,6,0.021277,0.199772
0.0005,0.0,1,1,0.0,0.210832
0.0005,0.0,2,6,0.042553,0.213973
0.0005,0.0,2,1,0.0,0.23599
0.0005,5.0,1,1,0.170213,0.063514
0.0005,5.0,1,6,0.361702,0.068069
0.0005,1.0,1,4,0.042553,0.113493
0.0005,10.0,2,6,0.893617,0.018089
0.0005,1.0,1,3,0.042553,0.131347
0.0005,10.0,2,1,0.808511,0.013483
0.0005,1.0,1,2,0.042553,0.117708
0.0005,1.0,1,5,0.021277,0.114247
0.0005,1.0,2,6,0.191489,0.074436
0.0005,10.0,1,4,0.489362,0.049508
0.0005,1.0,2,1,0.12766,0.08172
0.0005,10.0,1,3,0.404255,0.048361
0.0005,10.0,1,2,0.489362,0.042971
0.0005,10.0,1,5,0.276596,0.048347
0.0005,0.0,1,4,0.06383,0.204758
0.0005,5.0,2,5,0.659574,0.029649
0.0005,0.0,1,3,0.0,0.209609
0.0005,5.0,2,2,0.744681,0.028253
0.0005,0.0,1,2,0.042553,0.223428
0.0005,5.0,2,3,0.638298,0.030999
0.0005,0.0,1,5,0.0,0.240068
0.0005,5.0,2,4,0.617021,0.033172
0.001,0.0,2,2,0.021277,0.325728
0.001,5.0,1,3,0.106383,0.102979
0.001,0.0,2,5,0.021277,0.264184
0.001,5.0,1,4,0.085106,0.098229
0.001,0.0,2,4,0.021277,0.325698
0.001,5.0,1,5,0.170213,0.091127
0.001,0.0,2,3,0.021277,0.3278
0.001,5.0,1,2,0.085106,0.093797
0.001,10.0,2,2,0.744681,0.026353
0.001,10.0,2,5,0.765957,0.026112
0.001,1.0,1,6,0.0,0.171361
0.001,10.0,2,4,0.851064,0.019316
0.001,1.0,1,1,0.06383,0.194894
0.001,10.0,2,3,0.808511,0.030233
0.001,1.0,2,2,0.085106,0.117567
0.001,1.0,2,5,0.085106,0.130342
0.001,1.0,2,4,0.042553,0.126893
0.001,10.0,1,6,0.234043,0.066273
0.001,1.0,2,3,0.12766,0.122642
0.001,10.0,1,1,0.191489,0.065233
0.001,5.0,2,1,0.382979,0.048369
0.001,5.0,2,6,0.425532,0.039015
0.001,0.0,1,6,0.0,0.302425
0.001,0.0,1,1,0.021277,0.339511
0.001,0.0,2,6,0.0,0.306403
0.001,0.0,2,1,0.0,0.319327
0.001,5.0,1,1,0.148936,0.08658
0.001,5.0,1,6,0.12766,0.073085
0.001,1.0,1,4,0.042553,0.175036
0.001,10.0,2,6,0.787234,0.025528
0.001,1.0,1,3,0.0,0.175491
